Country,City,Population
Åland Islands,Mariehamn,11521
Albania,Tirana,811649
Andorra,Andorra la Vella,22128
Austria,Vienna,1867582
Belarus,Minsk,1921807
Belgium,Brussels,1175173
Bosnia and Herzegovina,Sarajevo,275524
Bulgaria,Sofia,1260120
Croatia,Zagreb,792875
Czechia,Prague,1301132
Denmark,Copenhagen,1295686
Estonia,Tallinn,426538
Faroe Islands,Tórshavn,12648
Finland,Helsinki,629512
France,Paris,2220445
Germany,Berlin,3748148
Gibraltar,Gibraltar,32194
Greece,Athens,664046
Guernsey,Saint Peter Port,18207
Hungary,Budapest,1759407
Iceland,Reykjavík,123246
Ireland,Dublin,553165
Isle of Man,Douglas,27938
Italy,Rome,2873494
Jersey,Saint Helier,33500
Kosovo,Pristina,211129
Latvia,Riga,641423
Liechtenstein,Vaduz,5429
Lithuania,Vilnius,542664
Luxembourg,Luxembourg,107247
Malta,Valletta,6444
Moldova,Chisinau,492894
Monaco,Monaco,37308
Montenegro,Podgorica,187085
Netherlands,Amsterdam,851223
North Macedonia,Skopje,506926
Norway,Oslo,658390
Poland,Warsaw,1764615
Portugal,Lisbon,545245
Romania,Bucharest,2106144
Russia,Moscow,13197596
San Marino,San Marino,33285
Serbia,Belgrade,1166763
Slovakia,Bratislava,432801
Slovenia,Ljubljana,279756
Spain,Madrid,3182981
Svalbard,Longyearbyen,2144
Sweden,Stockholm,935619
Switzerland,Bern,133071
Ukraine,Kiev,2900920
United Kingdom,London,8673713